§17 requirement	Current state in site/index.html & chrome	Gap
§17.1 Full-bleed 100vh hero, 60/40 split	Single section with featured drop, not 100vh, not split	Restructure hero into .ga-hero-split grid
§17.1 Auto-rotating iframe (4–6 Editor's Choice, 30s)	One iframe, no rotation	New _data/editors_choice.yml + assets/js/hero-rotator.js (preloads next iframe in hidden div, swaps on interval)
§17.1 Three pill CTAs (Explore / Apply artist / Register gallery)	Existing CTAs differ; /galleries/apply page exists? needs check	Replace right-pane CTAs
§17.1 Live counters polled from /api/stats every 60s	Static counters from _data/latest.yml	New assets/js/stats-poll.js; needs worker GET /v1/stats (likely missing)
§17.1 Sticky transparent header, blurred on scroll	.ga-nav exists, sticky/blur not confirmed	Add position:sticky; backdrop-filter + scroll-state class
§17.2 Editor's Choice strip (8–12 live previews)	Not present	New _includes/editors-choice-strip.html + horizontal scroll CSS
§17.3 Latest Drops two-col + filter chips	Not present	New section + _data/latest_drops.yml + chip filter (client JS)
§17.4 Featured Artists carousel	Not present	New include; static captures OK per spec
§17.5 Featured Galleries Leaflet map	Leaflet not loaded	Add Leaflet CDN, _data/galleries_map.yml w/ lat/lng, OSM tiles
§17.6 Community Pulse (3-col live feed)	Not present	Needs worker endpoints /v1/feed/ratings, /v1/feed/collabs, /v1/feed/agreements (none exist; ratings/agreements tables not built)
§17.7 Manifesto pull-quote	Not present	New include reading site/_includes/manifesto-pull.html
§17.8 Footer 4-cols + version/commit hash	genart-footer.html exists — structure unverified	Likely needs restructure; pass commit hash via JEKYLL_COMMIT_SHA env into _config.yml at CI build
§17.9 Palette pure #000/#fff/accent #00d084	Current palette uses #0b0b0c/#f8f7f4 (warm off-black/cream), accent unknown	Divergence — current is editorial warm, spec is pure clinical. Worth a deliberate decision before changing.
§17.9 Display = Fraunces or Cal Sans, body Inter, mono JetBrains Mono	Need to check fonts.css	Likely already on Fraunces from §18 alignment; mono unspecified
§17.9 Light mode toggle persisting localStorage	✅ Already implemented in genart-head.html	
§17.10 Lighthouse ≥95, LCP <2.0s, CLS <0.05	Not measured; multiple legacy CSS files (bootstrap, owl, animate, fancybox) loaded site-wide	Likely failing — those 8+ legacy CSS files are dead weight from theme template. Audit + delete to hit budget.
